지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm)
108,서울,2000-01-01,5.5,1.8,615,9.9,1441,
108,서울,2000-01-02,4.2,-.9,2359,6.9,27,6
108,서울,2000-01-03,-2.2,-4.6,829,.1,1425,
108,서울,2000-01-04,.3,-4.3,535,4.3,1510,
108,서울,2000-01-05,2.8,.1,736,4.6,2311,18.4
108,서울,2000-01-06,1.7,-4.2,2400,5.7,308,9.8
108,서울,2000-01-07,-8.2,-12.1,812,-4.2,0,0
108,서울,2000-01-08,-3.8,-7.2,348,-.1,1455,.5
108,서울,2000-01-09,-1.9,-6,801,1,2254,0
108,서울,2000-01-10,-.8,-4.8,2400,2.3,1455,.1
108,서울,2000-01-11,-.2,-7.1,612,4.9,1500,
108,서울,2000-01-12,3.7,2.6,120,5.1,1047,3.9
108,서울,2000-01-13,.7,-2.1,2309,4,54,1.7
108,서울,2000-01-14,-1.4,-2.6,2400,1.1,1329,
108,서울,2000-01-15,-1.1,-4.9,423,3.3,1540,
108,서울,2000-01-16,.2,-2.2,817,4.5,1337,
108,서울,2000-01-17,-.9,-4.4,633,3.8,1505,
108,서울,2000-01-18,-1.8,-5.1,803,2.3,1431,
108,서울,2000-01-19,-4.7,-7.5,2344,-1.2,105,.8
108,서울,2000-01-20,-8.5,-11.4,811,-5.4,1553,0
108,서울,2000-01-21,-7,-11.6,653,-2.6,1614,
108,서울,2000-01-22,-2.5,-6.7,214,1.6,1246,1.2
108,서울,2000-01-23,2.4,-1.1,1,7.4,1414,.4
108,서울,2000-01-24,-2.9,-6.5,2400,.2,1416,
108,서울,2000-01-25,-7.5,-10.6,811,-2.9,1457,
108,서울,2000-01-26,-8.3,-11.2,752,-4.5,1605,
108,서울,2000-01-27,-5.9,-11.2,751,-.8,1446,
108,서울,2000-01-28,-3.4,-8.7,758,2.5,1519,
108,서울,2000-01-29,-.3,-4.1,48,2.7,1620,0
108,서울,2000-01-30,-4.3,-8.1,2400,1,0,0
108,서울,2000-01-31,-7.8,-10.7,752,-4.7,1419,
108,서울,2000-02-01,-6.6,-11.6,727,-2,1424,
108,서울,2000-02-02,-3.8,-8.8,604,.8,1455,
108,서울,2000-02-03,-1.8,-4.3,140,2,1412,0
108,서울,2000-02-04,-2,-7.1,721,3.7,1537,
108,서울,2000-02-05,-.5,-5.9,706,4.1,1543,.5
108,서울,2000-02-06,-.1,-1.3,625,2.3,1427,.7
108,서울,2000-02-07,-1.6,-5.3,2400,1.7,1233,0
108,서울,2000-02-08,-6.9,-9.4,809,-4.4,1424,
108,서울,2000-02-09,-5.2,-9.5,734,-.8,1556,
108,서울,2000-02-10,-2.2,-8.8,733,3.1,1432,
108,서울,2000-02-11,1.6,-1,703,5.3,1427,0
108,서울,2000-02-12,2.1,-1.5,354,6.1,1531,
108,서울,2000-02-13,2.5,-2.2,730,6.5,1524,
108,서울,2000-02-14,-.3,-4.3,2246,3.5,1402,.9
108,서울,2000-02-15,-5.4,-7.8,719,-2,1450,
108,서울,2000-02-16,-4.6,-8.1,541,-.2,1452,
108,서울,2000-02-17,-3.9,-8.4,351,.4,1543,
108,서울,2000-02-18,-2.1,-7.5,624,3.1,1424,
108,서울,2000-02-19,1.7,-3.7,709,7.5,1513,
108,서울,2000-02-20,-.7,-4.3,2343,4.2,1351,
108,서울,2000-02-21,-1.7,-5.6,651,3.1,1614,
108,서울,2000-02-22,-.6,-5.6,717,4.6,1522,
108,서울,2000-02-23,.6,-2.9,2400,4.4,1542,0
108,서울,2000-02-24,-3.2,-6.5,737,1,1505,
108,서울,2000-02-25,-2,-6.9,456,2,1433,
108,서울,2000-02-26,.5,-2.4,616,3.7,1457,0
108,서울,2000-02-27,1.8,-3.6,638,6.2,1530,0
108,서울,2000-02-28,-2.8,-6.1,702,1.1,1425,
108,서울,2000-02-29,-1.2,-6.7,603,4.4,1522,
108,서울,2000-03-01,2.3,-3.2,716,7.7,1404,
108,서울,2000-03-02,5.3,1.7,242,11.2,1435,
108,서울,2000-03-03,8.8,1.2,546,17.2,1437,
108,서울,2000-03-04,8.1,4.7,727,12.9,1327,
108,서울,2000-03-05,5.5,1.4,538,10.5,1530,
108,서울,2000-03-06,2.7,-1.6,2400,6.8,1505,
108,서울,2000-03-07,-1.7,-4.5,2349,2.2,1551,
108,서울,2000-03-08,-.8,-4.8,59,3.9,1308,0
108,서울,2000-03-09,1.1,-4.6,623,5.7,1617,
108,서울,2000-03-10,3.6,-3.5,624,9.2,1353,
108,서울,2000-03-11,5.2,3.6,2400,7,1606,0
108,서울,2000-03-12,3.9,.7,313,10.4,1334,
108,서울,2000-03-13,4.7,-.5,717,10.4,1444,
108,서울,2000-03-14,6.2,1.5,652,11.7,1337,
108,서울,2000-03-15,7.8,1,552,13.8,1331,0
108,서울,2000-03-16,5.6,3.6,555,9.3,1533,.1
108,서울,2000-03-17,7.5,1.6,631,13.4,1419,
108,서울,2000-03-18,10.6,7.4,350,14.9,1502,
108,서울,2000-03-19,6.4,3.2,746,10,1654,.4
108,서울,2000-03-20,7.1,1.4,618,13.2,1405,
108,서울,2000-03-21,8.1,4.5,741,12.5,1437,
108,서울,2000-03-22,10.3,3.9,310,16.9,1428,
108,서울,2000-03-23,7.3,4.8,2400,10.1,12,1.2
108,서울,2000-03-24,4.8,2.1,2400,8.3,1525,
108,서울,2000-03-25,6,.7,448,11.3,1529,
108,서울,2000-03-26,8.4,2.7,645,14.5,1519,
108,서울,2000-03-27,13.1,5.1,430,18.9,1345,1.2
108,서울,2000-03-28,11,6,2400,15.8,1334,.1
108,서울,2000-03-29,7.7,3.8,705,11.9,1410,.1
108,서울,2000-03-30,9,4.6,635,14.2,1227,
108,서울,2000-03-31,10.7,5.7,555,16.5,1504,
108,서울,2000-04-01,10.3,4.2,916,16.1,1442,
108,서울,2000-04-02,12.1,7.3,355,16.9,1511,
108,서울,2000-04-03,13.4,7.6,630,19,1450,
108,서울,2000-04-04,14,9.1,538,20.4,1335,
108,서울,2000-04-05,9.6,6.1,2400,13.3,1523,0
108,서울,2000-04-06,8.6,3.4,623,14,1445,
108,서울,2000-04-07,8.9,5.8,142,12.6,1356,
108,서울,2000-04-08,9.6,4.1,608,17,1530,
108,서울,2000-04-09,11.8,5.9,448,19.2,1621,.8
108,서울,2000-04-10,6,2.9,758,9.7,113,4.2
108,서울,2000-04-11,8.6,1.8,248,14.9,1559,
108,서울,2000-04-12,11.9,7,613,17,1455,
108,서울,2000-04-13,13.3,9.1,626,18.7,1351,
108,서울,2000-04-14,13.1,7.9,631,17.8,1423,
108,서울,2000-04-15,12,8.8,2400,18.1,1325,1.4
108,서울,2000-04-16,11.4,5.3,548,16.4,1555,
108,서울,2000-04-17,12.9,7.1,619,19.9,1347,
108,서울,2000-04-18,14.8,11.2,435,17.7,1126,0
108,서울,2000-04-19,14.6,10,700,20,1406,4
108,서울,2000-04-20,15.5,9.2,434,23.5,1511,0
108,서울,2000-04-21,12.1,10,2400,14.9,1503,9
108,서울,2000-04-22,9.6,7.5,542,11.9,1800,4.1
108,서울,2000-04-23,11,7.2,327,15.4,1339,
108,서울,2000-04-24,12.6,7.2,524,17.8,1345,
108,서울,2000-04-25,15.4,9.8,320,20.9,1520,.5
108,서울,2000-04-26,11.3,9.3,2023,14.4,41,3.1
108,서울,2000-04-27,9.5,8.2,2400,10.4,1302,3.6
108,서울,2000-04-28,12.4,5.8,537,19.2,1512,
108,서울,2000-04-29,15.5,8.2,528,22.3,1500,
108,서울,2000-04-30,14.5,11.2,2231,18.6,1509,
108,서울,2000-05-01,14.2,10.8,350,19.2,1445,0
108,서울,2000-05-02,13.8,7.9,556,20.3,1446,
108,서울,2000-05-03,15.6,9.5,556,22.3,1320,
108,서울,2000-05-04,18,11.2,603,24.1,1529,
108,서울,2000-05-05,16.9,12.9,550,22.2,1402,1.8
108,서울,2000-05-06,15.5,12.3,556,19.6,1621,1.8
108,서울,2000-05-07,14.7,9.5,610,19.8,1404,
108,서울,2000-05-08,17,9.9,550,23.7,1604,
108,서울,2000-05-09,20.1,12.6,435,26.4,1145,
108,서울,2000-05-10,14.3,10.9,2246,18.9,0,20
108,서울,2000-05-11,11.7,10.1,755,14.2,1639,7.6
108,서울,2000-05-12,14.2,9.7,537,18.6,1511,
108,서울,2000-05-13,18.1,10.2,447,24.5,1545,
108,서울,2000-05-14,18.5,12.7,544,24.4,1314,
108,서울,2000-05-15,16.9,13.9,515,22,1443,0
108,서울,2000-05-16,16.7,13.4,558,20.1,1226,.6
108,서울,2000-05-17,17.5,14.2,353,22.6,1346,
108,서울,2000-05-18,16.9,11.8,532,23.8,1309,
108,서울,2000-05-19,15.7,12.7,2355,20.1,1157,27
108,서울,2000-05-20,15.2,11.4,258,20.7,1245,
108,서울,2000-05-21,16.7,11.2,308,23,1527,0
108,서울,2000-05-22,20.2,16.4,210,25.5,1508,
108,서울,2000-05-23,19.3,15.1,332,25.1,1515,
108,서울,2000-05-24,21.9,17.2,512,27.4,1417,
108,서울,2000-05-25,23.9,17.9,354,30.5,1452,
108,서울,2000-05-26,22.6,18.3,540,27.7,1120,3.1
108,서울,2000-05-27,18,16.7,240,19.1,1437,13.3
108,서울,2000-05-28,18.8,14.2,427,23.7,1508,
108,서울,2000-05-29,20.7,13.2,535,27,1302,
108,서울,2000-05-30,18.8,15.6,610,22.5,1200,
108,서울,2000-05-31,19.9,15.8,545,25.7,1551,0
108,서울,2000-06-01,20.4,15.1,558,26.3,1305,.3
108,서울,2000-06-02,21.8,16.1,250,28.3,1416,
108,서울,2000-06-03,24.9,18.5,515,31.6,1250,0
108,서울,2000-06-04,25.9,19.1,532,32.5,1418,
108,서울,2000-06-05,24.6,19.1,457,31.1,1446,
108,서울,2000-06-06,22.3,17.4,611,28.3,1515,
108,서울,2000-06-07,22.4,17.5,523,27,1540,
108,서울,2000-06-08,20.6,18,2358,23.2,1415,.4
108,서울,2000-06-09,20.1,14.6,531,27.1,1606,
108,서울,2000-06-10,20.3,17,2400,25.5,1614,3.2
108,서울,2000-06-11,21.7,15.9,230,27.7,1453,
108,서울,2000-06-12,23,16.7,553,29.5,1440,0
108,서울,2000-06-13,22.9,16.4,548,29.7,1354,0
108,서울,2000-06-14,24.4,19.3,407,29.7,1429,0
108,서울,2000-06-15,24.9,19.2,432,32,1416,
108,서울,2000-06-16,25.3,20.2,514,30,1603,
108,서울,2000-06-17,25.6,22,555,30.5,1354,
108,서울,2000-06-18,26.3,21.1,49,33.9,1435,
108,서울,2000-06-19,25.9,20,504,33.3,1315,
108,서울,2000-06-20,26.1,20.4,503,32.4,1325,
108,서울,2000-06-21,26,21.5,611,32.5,1502,
108,서울,2000-06-22,23.3,20.2,700,28.4,1322,9.8
108,서울,2000-06-23,23,20.6,425,26.8,1207,.3
108,서울,2000-06-24,24.5,20.1,328,28.3,1056,
108,서울,2000-06-25,25.1,21.7,332,28.1,1019,
108,서울,2000-06-26,24.1,22.6,2400,26.6,1303,7.5
108,서울,2000-06-27,24.3,20.4,516,29.3,1526,21.4
108,서울,2000-06-28,25.9,19.9,528,33.4,1450,
108,서울,2000-06-29,23.3,20.9,515,25.7,1304,21.5
108,서울,2000-06-30,23,20.5,703,26.8,1705,3.7
108,서울,2000-07-01,25.6,19.9,525,31,1509,
108,서울,2000-07-02,27.2,24.1,520,33,1401,
108,서울,2000-07-03,28.1,23.2,506,33.2,1304,
108,서울,2000-07-04,28.2,23.2,420,33.8,1251,.1
108,서울,2000-07-05,28.4,22.8,540,33.9,1500,
108,서울,2000-07-06,29,23.8,525,34.2,1421,
108,서울,2000-07-07,27.8,24.2,2400,33.4,1341,
108,서울,2000-07-08,27,22.1,606,33,1331,
108,서울,2000-07-09,26.8,22.7,534,30.5,1322,
108,서울,2000-07-10,28.7,22.8,456,34,1455,0
108,서울,2000-07-11,23.5,20.1,2339,27.8,0,23
108,서울,2000-07-12,25.4,20.1,3,28.7,1131,4
108,서울,2000-07-13,25.9,23.1,537,31,1404,
108,서울,2000-07-14,26.6,23,443,30.6,1552,
108,서울,2000-07-15,26.6,24,550,30.7,1332,
108,서울,2000-07-16,25.7,23.5,639,28.6,1401,
108,서울,2000-07-17,27,25.1,534,30.5,1415,0
108,서울,2000-07-18,27.7,25.1,601,32,1504,2
108,서울,2000-07-19,26.8,24.7,429,28.9,1431,15.8
108,서울,2000-07-20,27.9,25.2,515,31.8,1412,1.7
108,서울,2000-07-21,27.5,25.6,555,30.6,1548,
108,서울,2000-07-22,24.8,23.8,2044,26.2,709,60.6
108,서울,2000-07-23,25.5,22.7,736,29.5,1600,
108,서울,2000-07-24,26.5,22.6,507,31,1412,
108,서울,2000-07-25,25.8,22.3,429,29.7,1341,
108,서울,2000-07-26,26.9,21.7,535,31.9,1539,
108,서울,2000-07-27,28.3,23.5,519,33.1,1528,
108,서울,2000-07-28,28.3,25.5,652,31.7,1314,
108,서울,2000-07-29,27.5,25.2,1516,29.7,1340,5.6
108,서울,2000-07-30,23.9,20.6,915,26.6,0,1.5
108,서울,2000-07-31,25.3,20.7,547,30.4,1608,.4
108,서울,2000-08-01,26.3,21.2,548,31.2,1314,
108,서울,2000-08-02,28.8,22.6,544,35.1,1348,
108,서울,2000-08-03,28.3,23.4,457,32.7,1550,.2
108,서울,2000-08-04,24.6,21.5,906,29.4,1426,32.7
108,서울,2000-08-05,25.2,23.2,1,28.4,1241,3.4
